n_bins,sigma,max_abs_dlog10Da_peak,median_abs_dlog10Da_peak,max_abs_dlog10Da_centroid_f095,median_abs_dlog10Da_centroid_f095
30,0.8,0.3544568496371254,0.10526293650465668,0.3791961070217509,0.062349777374630655
30,1.2,0.47978716636725594,0.1050238327774764,0.0467594674244074,0.014612358815669246
30,1.6,0.225892705403826,0.09655294767503708,0.09165207064366232,0.030411467132730685
40,0.8,0.37430780735129554,0.0,0.2511394257434243,0.03226821773714539
40,1.2,0.0,0.0,0.0,0.0
40,1.6,0.1964989213049697,0.0,0.06749994214696287,0.030185234156532736
50,0.8,0.2027088699825157,0.05160962331468788,0.29746038120405904,0.03951880596670376
50,1.2,0.2027088699825157,0.04791604118644166,0.09859718745106072,0.017399106535664455
50,1.6,0.12772713052130769,0.050430796965236446,0.06475952632929172,0.0360199487911812
