Contrast,n_bins,sigma,log10Da_peak,dlog10Da_peak_vs_base,log10Da_centroid_f095,dlog10Da_centroid_f095_vs_base,HI_peak,hitL,hitR,nBins_valid
95.4,40,1.2,-4.4333604905293935,0.0,-4.500218849935829,0.0,0.17542448070424957,False,False,40
115.8,40,1.2,-4.552185349226443,0.0,-4.62447253626839,0.0,0.1803062287322236,False,False,40
1.2,40,1.6,-3.659507481719973,0.01970288068686532,-3.5842322130095297,0.00022519542864296582,0.0758680189258092,False,False,40
1.4,40,1.6,-3.726557854072337,0.01970420464601741,-3.660084398083438,0.017997597055275705,0.07845855045948057,False,False,40
1.7,40,1.6,-3.633441854932134,0.17732657690399423,-3.699955202638958,-0.00029959984803262785,0.08104141614519399,False,False,40
2.0,40,1.6,-3.684128386766375,0.0,-3.753676889909933,-0.0010283265691892751,0.0838556238475463,False,False,40
2.4,40,1.6,-3.7312527141057643,0.0,-3.766543830944871,-0.02725782214167527,0.08795967319096223,False,False,40
2.9,40,1.6,-3.810533274866916,-0.019656568334379454,-3.787417409911346,-0.038829046938718026,0.09112865570778435,False,False,40
3.5,40,1.6,-3.8721709747531214,-0.1768890959886078,-3.809967094433021,-0.04005383507597449,0.09374348992367153,False,False,40
4.2,40,1.6,-3.9309511082630624,-0.1964989213049697,-3.8611071289662333,-0.041578750325485636,0.09604100022431412,False,False,40
5.1,40,1.6,-3.8185967435337043,0.0,-3.8890261228417806,-0.05871500864422874,0.09927563958849683,False,False,40
6.2,40,1.6,-3.881850754008356,0.0,-3.8942622669759794,-0.041624238880561215,0.10345059840484881,False,False,40
7.6,40,1.6,-3.950003319818432,0.0,-3.964675477523296,-0.036998782282077425,0.10773850432359806,False,False,40
9.2,40,1.6,-4.005099892914616,0.0,-4.038602907062626,-0.031187586644062293,0.11096217044807309,False,False,40
11.2,40,1.6,-4.071026001826365,0.0,-4.082272176816048,-0.030185234156532736,0.11393766182195411,False,False,40
13.6,40,1.6,-4.163417462576614,-0.019656763357106755,-4.179993666103058,-0.018433164531753476,0.11959533419327584,False,False,40
16.5,40,1.6,-4.227837662895752,0.0,-4.271347049695012,-0.016246440469637413,0.12537061830621582,False,False,40
20.1,40,1.6,-4.432424743959265,-0.019668788323757624,-4.420646905587524,-0.009084486597545016,0.13191349381776826,False,False,40
24.4,40,1.6,-4.516448907335115,0.0,-4.501022628199999,-0.0012450050220991216,0.13738595012283342,False,False,40
29.7,40,1.6,-4.543504496184305,0.0,-4.565387763545527,0.016354454563051846,0.143201419562808,False,False,40
36.1,40,1.6,-4.641861048783404,0.0,-4.619239979715257,0.012638235992874058,0.1489606221058114,False,False,40
43.9,40,1.6,-4.732864037148676,0.0,-4.6731748650269,0.03351667817801118,0.15347464672408354,False,False,40
53.3,40,1.6,-4.620376126178665,0.177038111878276,-4.653161411156762,0.04355309027814691,0.15725099699963208,False,False,40
64.7,40,1.6,-4.6852872779176895,0.0196704930005005,-4.59188753805345,-0.022040333089012876,0.16069134626138942,False,False,40
78.6,40,1.6,-4.553009018160582,-0.15743164049131853,-4.5446250281435665,-0.049565510945138946,0.16643990905543987,False,False,40
95.4,40,1.6,-4.453028569606527,-0.019668079077133527,-4.5677187920827915,-0.06749994214696287,0.17148190230917737,False,False,40
115.8,40,1.6,-4.552185349226443,0.0,-4.662798955030648,-0.038326418762258285,0.17583885456935638,False,False,40
1.2,50,0.8,-3.743454034529905,-0.06424367212306681,-3.787327403699662,-0.2028699952614894,0.08055514149127238,False,False,50
1.4,50,0.8,-3.9293391885789544,-0.18307712986059999,-3.891216159652435,-0.21313416451372103,0.08287464279661438,False,False,50
1.7,50,0.8,-4.013477301818644,-0.2027088699825157,-3.9971159839949846,-0.29746038120405904,0.08587427153402484,False,False,50
2.0,50,0.8,-3.4900818464162775,0.19404654035009772,-3.519560134464715,0.23308842887602843,0.08704465140399016,False,False,50
2.4,50,0.8,-3.541943998824234,0.18930871528153048,-3.5784984150363495,0.16078759376684637,0.09514229820243432,False,False,50
2.9,50,0.8,-3.7404459095673,0.050430796965236446,-3.693601192235625,0.05498717073700288,0.1000653554767746,False,False,50
3.5,50,0.8,-3.6838086989286913,0.0114731798358223,-3.7419648037713236,0.027948455585722787,0.10174706300447194,False,False,50
4.2,50,0.8,-3.861781009047879,-0.12732882208978635,-3.7989807070538233,0.020547671586924388,0.10188976768725151,False,False,50
5.1,50,0.8,-3.788120036967003,0.030476706566701317,-3.795337421660544,0.03497369253700766,0.10633361403017036,False,False,50
6.2,50,0.8,-3.870786209597419,0.011064544410937405,-3.867551381803668,-0.014913353708249755,0.110325383018202,False,False,50
7.6,50,0.8,-3.9198437935401214,0.030159526278310533,-3.888157889274515,0.03951880596670376,0.1134386734890149,False,False,50
9.2,50,0.8,-3.9771558347036993,0.027944058210917166,-3.9650195025224013,0.04239581789616231,0.11843517128909074,False,False,50
11.2,50,0.8,-4.062715150155566,0.008310851670798591,-4.025155750969065,0.026931191690449552,0.12120558715663723,False,False,50
13.6,50,0.8,-4.133175048484905,0.010585650734602936,-4.17781539286785,-0.016254891296545892,0.12556093764218262,False,False,50
16.5,50,0.8,-4.355564793417059,-0.12772713052130769,-4.279033537553838,-0.023932928328463277,0.13211742632326298,False,False,50
20.1,50,0.8,-4.361973328900252,0.050782626735255576,-4.437619536319715,-0.026057117329735924,0.13793791162976976,False,False,50
24.4,50,0.8,-4.58440207788459,-0.06795317054947514,-4.546535832596156,-0.0467582094182557,0.1442630027691153,False,False,50
29.7,50,0.8,-4.4917003705579095,0.05180412562639525,-4.519396497703923,0.06234572040465558,0.1517202896492251,False,False,50
36.1,50,0.8,-4.732300563601552,-0.09043951481814716,-4.6581977278036115,-0.02631951209548067,0.15819384737582265,False,False,50
43.9,50,0.8,-4.681391695981357,0.05147234116731969,-4.725532484649909,-0.018840941444997483,0.16221835152403766,False,False,50
53.3,50,0.8,-4.745804614742253,0.05160962331468788,-4.755830649549143,-0.05911614811423416,0.1641683869281957,False,False,50
64.7,50,0.8,-4.829848551092935,-0.12489078017474498,-4.568595617345282,0.0012515876191550035,0.16420976019660974,False,False,50
78.6,50,0.8,-4.438666686665375,-0.04308930899611152,-4.393523258581953,0.1015362586164743,0.1703917954945155,False,False,50
95.4,50,0.8,-4.499996086877415,-0.06663559634802141,-4.456189525926933,0.044029324008895365,0.18264571668583587,False,False,50
115.8,50,0.8,-4.601324789323533,-0.049139440097089704,-4.603990719910729,0.020481816357660776,0.18382300341779345,False,False,50
1.2,50,1.2,-3.7236600773763344,-0.044449714969496235,-3.6559588527834883,-0.07150144434531569,0.07788838799647171,False,False,50
1.4,50,1.2,-3.7907734401951583,-0.04451138147680389,-3.745413083976723,-0.0673310888380092,0.07951301151888203,False,False,50
1.7,50,1.2,-4.013477301818644,-0.2027088699825157,-3.7800957563254127,-0.08044015353448719,0.08206517168308433,False,False,50
2.0,50,1.2,-3.6286326578624233,0.055495728903951935,-3.743393538789158,0.009255024551585667,0.08453046864663459,False,False,50
2.4,50,1.2,-3.680113503777174,0.051139210328590146,-3.640688821352135,0.09859718745106072,0.09096388859174155,False,False,50
2.9,50,1.2,-3.7404459095673,0.050430796965236446,-3.7075781126296348,0.04101025034299299,0.09535549297617514,False,False,50
3.5,50,1.2,-3.6838086989286913,0.0114731798358223,-3.7510877268285374,0.018825532528508937,0.09809038486455325,False,False,50
4.2,50,1.2,-3.861781009047879,-0.12732882208978635,-3.824366300337466,-0.0048379216967182614,0.09943669778593212,False,False,50
5.1,50,1.2,-3.788120036967003,0.030476706566701317,-3.838304550491019,-0.007993436293467049,0.10294320039008364,False,False,50
6.2,50,1.2,-3.870786209597419,0.011064544410937405,-3.8898420650638013,-0.037204036968383036,0.10658867163751383,False,False,50
7.6,50,1.2,-3.9198437935401214,0.030159526278310533,-3.941315137262708,-0.01363844202148945,0.10974651680550701,False,False,50
9.2,50,1.2,-3.9771558347036993,0.027944058210917166,-3.990016213882899,0.017399106535664455,0.11338901532219321,False,False,50
11.2,50,1.2,-4.062715150155566,0.008310851670798591,-4.046478812391737,0.0056081302677783995,0.1167213853355561,False,False,50
13.6,50,1.2,-4.133175048484905,0.010585650734602936,-4.184180923127229,-0.02262042155592514,0.12207487115122598,False,False,50
16.5,50,1.2,-4.217191701930046,0.01064596096570547,-4.2842312280538755,-0.029130618828500765,0.12846147771854333,False,False,50
20.1,50,1.2,-4.361973328900252,0.050782626735255576,-4.420509730811738,-0.008947311821759563,0.13472392610584566,False,False,50
24.4,50,1.2,-4.58440207788459,-0.06795317054947514,-4.51405882353783,-0.014281200359929969,0.14026310793321994,False,False,50
29.7,50,1.2,-4.4917003705579095,0.05180412562639525,-4.511422647621247,0.07031957048733162,0.14781701852888554,False,False,50
36.1,50,1.2,-4.593945007596963,0.04791604118644166,-4.629208295756818,0.002669919951312494,0.15330771214433223,False,False,50
43.9,50,1.2,-4.681391695981357,0.05147234116731969,-4.682738814890895,0.023952728314016625,0.15797797329339922,False,False,50
53.3,50,1.2,-4.745804614742253,0.05160962331468788,-4.709391266188882,-0.012676764753972947,0.16065830491980987,False,False,50
64.7,50,1.2,-4.6914221478851434,0.013535623033046562,-4.569904484096299,-5.7279131862486565e-05,0.16234936385979334,False,False,50
78.6,50,1.2,-4.438666686665375,-0.04308930899611152,-4.466159299796805,0.028900217401622186,0.16815441720149374,False,False,50
95.4,50,1.2,-4.499996086877415,-0.06663559634802141,-4.489066286854168,0.01115256308166046,0.17753651544357524,False,False,50
115.8,50,1.2,-4.601324789323533,-0.049139440097089704,-4.621104776643797,0.003367759624592459,0.17942257758313399,False,False,50
1.2,50,1.6,-3.5851023773013395,0.09410798510549867,-3.627213921579571,-0.0427565131413985,0.07634908315257338,False,False,50
1.4,50,1.6,-3.7907734401951583,-0.04451138147680389,-3.7071836765512547,-0.02910168141254088,0.07829472163232828,False,False,50
1.7,50,1.6,-3.855124858960683,-0.0443564271245549,-3.754686311626272,-0.05503070883534633,0.08100501300929537,False,False,50
2.0,50,1.6,-3.767183469308569,-0.08305508254219385,-3.7595101183526105,-0.0068615550118669155,0.08352624170504615,False,False,50
2.4,50,1.6,-3.680113503777174,0.051139210328590146,-3.7064194980510288,0.032866510752167066,0.08872360202679314,False,False,50
2.9,50,1.6,-3.7404459095673,0.050430796965236446,-3.744766676084046,0.0038216868885818656,0.09211584480507588,False,False,50
3.5,50,1.6,-3.8221023968225536,-0.12682051805803995,-3.7815170944070102,-0.011603835049963873,0.09509555565532479,False,False,50
4.2,50,1.6,-3.861781009047879,-0.12732882208978635,-3.8459879142412103,-0.026459535600462658,0.09701136567952777,False,False,50
5.1,50,1.6,-3.8078741127869815,0.01072263074672275,-3.876744894123581,-0.04643377992602904,0.09982017892354081,False,False,50
6.2,50,1.6,-3.870786209597419,0.011064544410937405,-3.91739755442471,-0.06475952632929172,0.10322109777240657,False,False,50
7.6,50,1.6,-3.939613150753195,0.010390169065237043,-3.986775439455032,-0.05909874421381334,0.10665654880330774,False,False,50
9.2,50,1.6,-3.996865075214933,0.008234817699683372,-4.0359037723492195,-0.028488451930655856,0.11014051994785883,False,False,50
11.2,50,1.6,-4.062715150155566,0.008310851670798591,-4.084562606792775,-0.032475664133260196,0.11358383759799086,False,False,50
13.6,50,1.6,-4.133175048484905,0.010585650734602936,-4.202961339718984,-0.041400838147679586,0.1189242090325146,False,False,50
16.5,50,1.6,-4.355564793417059,-0.12772713052130769,-4.299928855476019,-0.04482824625064463,0.12493635954819603,False,False,50
20.1,50,1.6,-4.361973328900252,0.050782626735255576,-4.4167489592294364,-0.005186540239457749,0.13171978952680338,False,False,50
24.4,50,1.6,-4.446006818298289,0.0704420890368258,-4.501143338783383,-0.001365715605482265,0.13714593418241897,False,False,50
29.7,50,1.6,-4.4917003705579095,0.05180412562639525,-4.517031002628052,0.06471121548052672,0.14407368005967272,False,False,50
36.1,50,1.6,-4.593945007596963,0.04791604118644166,-4.623858930719755,0.008019284988376008,0.14943459949865937,False,False,50
43.9,50,1.6,-4.681391695981357,0.05147234116731969,-4.6619346805592645,0.04475686264564693,0.1543241207900394,False,False,50
53.3,50,1.6,-4.745804614742253,0.05160962331468788,-4.655216283021482,0.04149821841342671,0.15741848657543495,False,False,50
64.7,50,1.6,-4.671646947426888,0.03331082349130199,-4.576511372785991,-0.006664167821554656,0.16094377839685292,False,False,50
78.6,50,1.6,-4.438666686665375,-0.04308930899611152,-4.531079465989609,-0.0360199487911812,0.1658305957303319,False,False,50
95.4,50,1.6,-4.499996086877415,-0.06663559634802141,-4.551600216249795,-0.05138136631396595,0.17278147163354882,False,False,50
